year,quarter,statement,market,endpoint,status,matched_companies
2018,3,cash_flow,sii,ajax_t163sb20,ok,31
2018,3,cash_flow,otc,ajax_t163sb20,ok,4
2018,4,income_statement,sii,ajax_t163sb04,ok,31
2018,4,income_statement,otc,ajax_t163sb04,ok,5
2018,4,balance_sheet,sii,ajax_t163sb05,ok,31
2018,4,balance_sheet,otc,ajax_t163sb05,ok,5
2018,4,cash_flow,sii,ajax_t163sb20,ok,31
2018,4,cash_flow,otc,ajax_t163sb20,ok,5
2019,1,income_statement,sii,ajax_t163sb04,ok,31
2019,1,income_statement,otc,ajax_t163sb04,ok,4
2019,1,balance_sheet,sii,ajax_t163sb05,ok,31
2019,1,balance_sheet,otc,ajax_t163sb05,ok,4
2019,1,cash_flow,sii,ajax_t163sb20,ok,31
2019,1,cash_flow,otc,ajax_t163sb20,ok,4
2019,2,income_statement,sii,ajax_t163sb04,ok,31
2019,2,income_statement,otc,ajax_t163sb04,ok,5
2019,2,balance_sheet,sii,ajax_t163sb05,ok,31
2019,2,balance_sheet,otc,ajax_t163sb05,ok,5
2019,2,cash_flow,sii,ajax_t163sb20,ok,31
2019,2,cash_flow,otc,ajax_t163sb20,ok,5
2019,3,income_statement,sii,ajax_t163sb04,ok,31
2019,3,income_statement,otc,ajax_t163sb04,ok,4
2019,3,balance_sheet,sii,ajax_t163sb05,ok,31
2019,3,balance_sheet,otc,ajax_t163sb05,ok,4
2019,3,cash_flow,sii,ajax_t163sb20,ok,31
2019,3,cash_flow,otc,ajax_t163sb20,ok,4
2019,4,income_statement,sii,ajax_t163sb04,ok,31
2019,4,income_statement,otc,ajax_t163sb04,ok,5
2019,4,balance_sheet,sii,ajax_t163sb05,ok,31
2019,4,balance_sheet,otc,ajax_t163sb05,ok,5
2019,4,cash_flow,sii,ajax_t163sb20,ok,31
2019,4,cash_flow,otc,ajax_t163sb20,ok,5
2020,1,income_statement,sii,ajax_t163sb04,ok,31
2020,1,income_statement,otc,ajax_t163sb04,ok,4
2020,1,balance_sheet,sii,ajax_t163sb05,ok,31
2020,1,balance_sheet,otc,ajax_t163sb05,ok,4
2020,1,cash_flow,sii,ajax_t163sb20,ok,31
2020,1,cash_flow,otc,ajax_t163sb20,ok,4
2020,2,income_statement,sii,ajax_t163sb04,ok,31
2020,2,income_statement,otc,ajax_t163sb04,ok,5
2020,2,balance_sheet,sii,ajax_t163sb05,ok,31
