stage,category,stock_id,company_name,statement,period_count,first_period,last_period
中游,ABF載板_高階PCB,2368,金像電,income_statement,54,2013Q1,2026Q2
中游,ABF載板_高階PCB,2368,金像電,balance_sheet,54,2013Q1,2026Q2
中游,ABF載板_高階PCB,2368,金像電,cash_flow,54,2013Q1,2026Q2
中游,ABF載板_高階PCB,2383,台光電,income_statement,54,2013Q1,2026Q2
中游,ABF載板_高階PCB,2383,台光電,balance_sheet,54,2013Q1,2026Q2
中游,ABF載板_高階PCB,2383,台光電,cash_flow,54,2013Q1,2026Q2
中游,伺服器滑軌與機殼,2059,川湖,income_statement,54,2013Q1,2026Q2
中游,伺服器滑軌與機殼,2059,川湖,balance_sheet,54,2013Q1,2026Q2
中游,伺服器滑軌與機殼,2059,川湖,cash_flow,54,2013Q1,2026Q2
中游,伺服器滑軌與機殼,8210,勤誠,income_statement,54,2013Q1,2026Q2
中游,伺服器滑軌與機殼,8210,勤誠,balance_sheet,54,2013Q1,2026Q2
中游,伺服器滑軌與機殼,8210,勤誠,cash_flow,54,2013Q1,2026Q2
中游,伺服器滑軌與機殼,6584,南俊國際,income_statement,30,2015Q4,2026Q2
中游,伺服器滑軌與機殼,6584,南俊國際,balance_sheet,30,2015Q4,2026Q2
中游,伺服器滑軌與機殼,6584,南俊國際,cash_flow,30,2015Q4,2026Q2
中游,高速連接器與線束,3665,貿聯-KY,income_statement,54,2013Q1,2026Q2
中游,高速連接器與線束,3665,貿聯-KY,balance_sheet,54,2013Q1,2026Q2
中游,高速連接器與線束,3665,貿聯-KY,cash_flow,54,2013Q1,2026Q2
中游,高速連接器與線束,3533,嘉澤,income_statement,54,2013Q1,2026Q2
中游,高速連接器與線束,3533,嘉澤,balance_sheet,54,2013Q1,2026Q2
中游,高速連接器與線束,3533,嘉澤,cash_flow,54,2013Q1,2026Q2
中游,高速連接器與線束,6290,良維,income_statement,54,2013Q1,2026Q2
中游,高速連接器與線束,6290,良維,balance_sheet,54,2013Q1,2026Q2
中游,高速連接器與線束,6290,良維,cash_flow,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,2317,鴻海,income_statement,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,2317,鴻海,balance_sheet,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,2317,鴻海,cash_flow,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,2382,廣達,income_statement,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,2382,廣達,balance_sheet,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,2382,廣達,cash_flow,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,6669,緯穎,income_statement,37,2015Q4,2026Q2
下游,伺服器ODM_整機櫃組裝,6669,緯穎,balance_sheet,37,2015Q4,2026Q2
下游,伺服器ODM_整機櫃組裝,6669,緯穎,cash_flow,37,2015Q4,2026Q2
下游,伺服器ODM_整機櫃組裝,3231,緯創,income_statement,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,3231,緯創,balance_sheet,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,3231,緯創,cash_flow,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,2356,英業達,income_statement,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,2356,英業達,balance_sheet,54,2013Q1,2026Q2
下游,伺服器ODM_整機櫃組裝,2356,英業達,cash_flow,54,2013Q1,2026Q2
下游,品牌伺服器與板卡,2376,技嘉,income_statement,54,2013Q1,2026Q2
下游,品牌伺服器與板卡,2376,技嘉,balance_sheet,54,2013Q1,2026Q2
下游,品牌伺服器與板卡,2376,技嘉,cash_flow,54,2013Q1,2026Q2
下游,品牌伺服器與板卡,2357,華碩,income_statement,54,2013Q1,2026Q2
下游,品牌伺服器與板卡,2357,華碩,balance_sheet,54,2013Q1,2026Q2
下游,品牌伺服器與板卡,2357,華碩,cash_flow,54,2013Q1,2026Q2
下游,品牌伺服器與板卡,2377,微星,income_statement,54,2013Q1,2026Q2
下游,品牌伺服器與板卡,2377,微星,balance_sheet,54,2013Q1,2026Q2
下游,品牌伺服器與板卡,2377,微星,cash_flow,54,2013Q1,2026Q2
下游,品牌伺服器與板卡,3706,神達,income_statement,52,2013Q3,2026Q2
下游,品牌伺服器與板卡,3706,神達,balance_sheet,52,2013Q3,2026Q2
下游,品牌伺服器與板卡,3706,神達,cash_flow,52,2013Q3,2026Q2
下游,邊緣運算_工業AI,2395,研華,income_statement,54,2013Q1,2026Q2
下游,邊緣運算_工業AI,2395,研華,balance_sheet,54,2013Q1,2026Q2
下游,邊緣運算_工業AI,2395,研華,cash_flow,54,2013Q1,2026Q2
下游,邊緣運算_工業AI,6166,凌華,income_statement,54,2013Q1,2026Q2
下游,邊緣運算_工業AI,6166,凌華,balance_sheet,54,2013Q1,2026Q2
下游,邊緣運算_工業AI,6166,凌華,cash_flow,54,2013Q1,2026Q2
下游,高速網路交換器,2345,智邦,income_statement,54,2013Q1,2026Q2
下游,高速網路交換器,2345,智邦,balance_sheet,54,2013Q1,2026Q2
下游,高速網路交換器,2345,智邦,cash_flow,54,2013Q1,2026Q2
